image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x1828E1C4910>,is there contrast in the colonic lumen?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1828E1C4A50>,what is the size of the lesion,almost entire right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x1828E1C4B90>,what part of the body does this radiograph show?,chest
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x1828E1C4CD0>,is this an abnormal film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x1828E1C4E10>,is there a cavitary lesion?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x1828E1C4F50>,the increased signal is a result of what material?,fluid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x1828E1C5090>,what does the abnormality in this image represent?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x1828E1C51D0>,is there a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x1828E1C5310>,is the contrast in the bowels or the vasculature?,in the vasculature
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1080 at 0x1828E1C5450>,is the heart enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1828E1C5590>,what structures is identified in the middle of this image?,pons
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1828E1C56D0>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x1828E1C5810>,was the patient given oral contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x1828E1C5950>,is there bleeding in the brain?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=833x794 at 0x1828E1C5A90>,is there evidence of a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x1828E1C5BD0>,what type of image modality is used?,mri
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x1828E1C5D10>,is there restricted diffusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1828E1C5E50>,is there an acute bleed present?,necrotic tissue
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x1828E1C5F90>,what type of imaging is this?,xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x800 at 0x1828E1C60D0>,are the lateral ventricles viewed in this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1C6210>,how many kidneys are visualizable in this image?,2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x1828E1C6350>,is the trachea midline?,midline
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x1828E1C6490>,is there evidence of free peritoneal fluid?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1828E1C65D0>,is the celiac trunk visualized and patent?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1828E1C6710>,is the liver abnormal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x601 at 0x1828E1C6850>,is the cerebellum seen on this axial section?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x1828E1C6990>,what do the masses contain?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x1828E1C6AD0>,is there bone in the top of the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x1828E1C6C10>,what organ is superimposed on the lung fields?,breasts
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x1828E1C6D50>,is the image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1C6E90>,is the left renal cyst uniform?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1828E1C6FD0>,which side is the abnormality on?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x1828E1C7110>,is there blurring of the grey-white matter junction?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1828E1C7250>,is there a calcification on the upper left lobe?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1828E1C7390>,is the celiac trunk visualized?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=415x495 at 0x1828E1C74D0>,is this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1828E1C7610>,which lung has diffuse opacification?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1C7750>,is there evidence of pneumoperitoneum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x1828E1C7890>,what modality is used in this image?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x1828E1C79D0>,is this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x1828E1C7B10>,what does the abnormal contour of the left hilum suggest in terms of pathology?,double arch
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x1828E1C7C50>,are the clavicles broken?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1157 at 0x1828E1C7D90>,the cystic findings in the bilateral apices are consistent with what pathology?,emphysema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x1828E1C7ED0>,is there anything wrong with the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1828E1F8050>,how would you describe the sulci in this image?,reduced sulci
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1828E1F8190>,is the celiac trunk patent?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x1828E1F82D0>,is this picture abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1F8410>,what does the black area signify?,black
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x600 at 0x1828E1F8550>,what side of the brain is the lesion on?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1F8690>,is this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x1828E1F87D0>,are the ventricles smaller than normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x1828E1F8910>,was contrast used?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x1828E1F8A50>,is the mass heterogeneous or homogeneous in appearance?,heterogeneous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x1828E1F8B90>,is there a fracture of the skull?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=976x903 at 0x1828E1F8CD0>,what is the gender of this patient?,man
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1828E1F8E10>,is the heart greater than 50% of the chest diameter,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1828E1F8F50>,is the celiac trunk able to be visualized in this patient and is it open?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x1828E1F9090>,is this image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x1828E1F91D0>,how many ring enhancing lesions can be found in this image?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1828E1F9310>,is there consolidation in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x1828E1F9450>,which orientation is the image acquired?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x1828E1F9590>,is the gallbladder wall thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x1828E1F96D0>,is the finding normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1828E1F9810>,what imaging modality is used?,xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x765 at 0x1828E1F9950>,is the liver normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1F9A90>,is there mass effect?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x1828E1F9BD0>,is there a nodule in the left lung?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1828E1F9D10>,is the celiac trunk able to be visualized in this patient?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x1828E1F9E50>,what is the hyperdensity in the image?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x1828E1F9F90>,is there contrast in the vasculature?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x421 at 0x1828E1FA0D0>,was this patient given iv contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1828E1FA210>,are any intestinal abnormalities present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x1828E1FA350>,is there a pneumothorax present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1001x1280 at 0x1828E1FA490>,is the stomach visualized here?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1828E1FA5D0>,is the lesion uniform in density?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1828E1FA710>,are the ribs broken?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x805 at 0x1828E1FA850>,is there adequate inspiration?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x1828E1FA990>,which side was affected?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1828E1FAAD0>,is the celiac trunk open?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x873 at 0x1828E1FAC10>,are there rib fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x411 at 0x1828E1FAD50>,in what lobes are the lesions located?,bilateral parietal lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x1828E1FAE90>,is there an ng tube present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x1828E1FAFD0>,is there a blood clot?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x1828E1FB110>,what is on the differential?,chronic sinusitis vs. hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1142 at 0x1828E1FB250>,is the trachea midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x1828E1FB390>,is the lesion ring enhancing?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x1828E1FB4D0>,is there free air under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x1828E1FB610>,is this patient lying supine?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x1828E1FB750>,is the cardiac contour normal in shape?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x1828E1FB890>,was this image taken without motion artifact,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x1828E1FB9D0>,is the pancreas edematous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x1828E1FBB10>,are there rib fractures present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1FBC50>,is there air-fluid levels?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1FBD90>,what is the image plane?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x1828E1FBED0>,is the image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x1828E228050>,in what plane is the above image?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x1828E228190>,what is abnormal about the image?,white matter plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x1828E2282D0>,is there a mediastinal shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E228410>,is the contrast in the bowels or the vasculature?,in the bowels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x1828E228550>,what imaging modality is used?,plain film xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x1828E228690>,was this image taken with patient in symmetrical supine position?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x1828E2287D0>,what plane is the image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1828E228910>,is there abnormal air present under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x182F2B63390>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x1828E228A50>,is there contrast in the bowels?,in the bowels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x1828E228B90>,how would you describe the r vertebral artery shape?,short section irregular contour
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x1828E228CD0>,is there a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=847x643 at 0x1828E228E10>,are there air fluid levels?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x766 at 0x1828E228F50>,how many masses are there?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=260x335 at 0x1828E229090>,is there evidence of grey matter edema?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E2291D0>,what type of mr image modality is seen?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1828E229310>,is this an image of the right and left temporal lobes?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1828E229450>,is there fat in these masses?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E229590>,how many kidneys are in this image?,2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1159 at 0x1828E2296D0>,is there a fracture of the clavicle?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x1828E229810>,in what plane is the ct scan?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x1828E229950>,is there mass effect from the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E229A90>,the enhancing soft tissue mass and fluid seen in the left upper quadrant is consistent with what pathology?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x1828E229BD0>,are the kidneys in this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x1828E229D10>,is the mass enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x1828E229E50>,is there a shift of midline structures?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x1828E229F90>,what does this represent?,hydropneumothorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x555 at 0x1828E22A0D0>,what type of imaging is this?,mri diffusion weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x1828E22A210>,are the liver 	splee n	stomac h	and esophagus all visualized in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1828E22A350>,does the patient have a central line placed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1828E22A490>,does the l sided lesion enhance?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1828E22A5D0>,which organ contains the air-fluid level?,stomach
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1187 at 0x1828E22A710>,how many masses are there?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1828E22A850>,are the findings normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x1828E22A990>,what type of thrombosis is shown?,basilar artery thrombosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x870 at 0x1828E22AAD0>,is the heart too big?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x656 at 0x1828E22AC10>,where is the liver?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x691 at 0x1828E22AD50>,do the ventricles have blood in them?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x1828E22AE90>,are the cystic and common bile ducts dilated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x1828E22AFD0>,does the gi contrast hi-light the small bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x1828E22B110>,is the cerebellum in view?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x1828E22B250>,is there contrast used in the above image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x1828E22B390>,is there contrast present in the bowel?,in the bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=630x768 at 0x1828E22B4D0>,is there cardiomegaly?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E22B610>,how many masses are there?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x1828E22B750>,anything abnormal in this image?,no
